,smi,variacion_anual_smi,var_anual_smi_b100,0
2013-12-01 00:00:00,,,,2013-12-01
2014-01-01 00:00:00,,,,2014-01-01
2014-02-01 00:00:00,,,,2014-02-01
2014-03-01 00:00:00,,,,2014-03-01
2014-04-01 00:00:00,,,,2014-04-01
2014-05-01 00:00:00,,,,2014-05-01
2014-06-01 00:00:00,,,,2014-06-01
2014-07-01 00:00:00,,,,2014-07-01
2014-08-01 00:00:00,,,,2014-08-01
2014-09-01 00:00:00,,,,2014-09-01
2014-10-01 00:00:00,,,,2014-10-01
2014-11-01 00:00:00,,,,2014-11-01
2014-12-01 00:00:00,,,,2014-12-01
2015-01-01 00:00:00,,,,2015-01-01
2015-02-01 00:00:00,,,,2015-02-01
2015-03-01 00:00:00,,,,2015-03-01
2015-04-01 00:00:00,,,,2015-04-01
2015-05-01 00:00:00,,,,2015-05-01
2015-06-01 00:00:00,,,,2015-06-01
2015-07-01 00:00:00,,,,2015-07-01
2015-08-01 00:00:00,,,,2015-08-01
2015-09-01 00:00:00,,,,2015-09-01
2015-10-01 00:00:00,,,,2015-10-01
2015-11-01 00:00:00,,,,2015-11-01
2015-12-01 00:00:00,,,,2015-12-01
2016-01-01 00:00:00,,,,2016-01-01
2016-02-01 00:00:00,,,,2016-02-01
2016-03-01 00:00:00,,,,2016-03-01
2016-04-01 00:00:00,,,,2016-04-01
2016-05-01 00:00:00,,,,2016-05-01
2016-06-01 00:00:00,,,,2016-06-01
2016-07-01 00:00:00,,,,2016-07-01
2016-08-01 00:00:00,,,,2016-08-01
2016-09-01 00:00:00,,,,2016-09-01
2016-10-01 00:00:00,,,,2016-10-01
2016-11-01 00:00:00,,,,2016-11-01
2016-12-01 00:00:00,,,,2016-12-01
2017-01-01 00:00:00,,,,2017-01-01
2017-02-01 00:00:00,,,,2017-02-01
2017-03-01 00:00:00,,,,2017-03-01
2017-04-01 00:00:00,,,,2017-04-01
2017-05-01 00:00:00,,,,2017-05-01
2017-06-01 00:00:00,,,,2017-06-01
2017-07-01 00:00:00,,,,2017-07-01
2017-08-01 00:00:00,,,,2017-08-01
2017-09-01 00:00:00,,,,2017-09-01
2017-10-01 00:00:00,,,,2017-10-01
2017-11-01 00:00:00,,,,2017-11-01
2017-12-01 00:00:00,,,,2017-12-01
2018-01-01 00:00:00,,,,2018-01-01
2018-02-01 00:00:00,,,,2018-02-01
2018-03-01 00:00:00,,,,2018-03-01
2018-04-01 00:00:00,,,,2018-04-01
2018-05-01 00:00:00,,,,2018-05-01
2018-06-01 00:00:00,,,,2018-06-01
2018-07-01 00:00:00,,,,2018-07-01
2018-08-01 00:00:00,,,,2018-08-01
2018-09-01 00:00:00,,,,2018-09-01
2018-10-01 00:00:00,,,,2018-10-01
2018-11-01 00:00:00,,,,2018-11-01
2018-12-01 00:00:00,,,,2018-12-01
2019-01-01 00:00:00,,,,2019-01-01
2019-02-01 00:00:00,,,,2019-02-01
2019-03-01 00:00:00,,,,2019-03-01
2019-04-01 00:00:00,,,,2019-04-01
2019-05-01 00:00:00,,,,2019-05-01
2019-06-01 00:00:00,,,,2019-06-01
2019-07-01 00:00:00,,,,2019-07-01
2019-08-01 00:00:00,,,,2019-08-01
2019-09-01 00:00:00,,,,2019-09-01
2019-10-01 00:00:00,,,,2019-10-01
2019-11-01 00:00:00,,,,2019-11-01
2019-12-01 00:00:00,,,,2019-12-01
2020-01-01 00:00:00,,,,2020-01-01
2020-02-01 00:00:00,,,,2020-02-01
2020-03-01 00:00:00,,,,2020-03-01
2020-04-01 00:00:00,,,,2020-04-01
2020-05-01 00:00:00,,,,2020-05-01
2020-06-01 00:00:00,,,,2020-06-01
2020-07-01 00:00:00,,,,2020-07-01
2020-08-01 00:00:00,,,,2020-08-01
2020-09-01 00:00:00,,,,2020-09-01
2020-10-01 00:00:00,,,,2020-10-01
2020-11-01 00:00:00,,,,2020-11-01
2020-12-01 00:00:00,,,,2020-12-01
2021-01-01 00:00:00,,,,2021-01-01
2021-02-01 00:00:00,,,,2021-02-01
2021-03-01 00:00:00,,,,2021-03-01
2021-04-01 00:00:00,,,,2021-04-01
2021-05-01 00:00:00,,,,2021-05-01
2021-06-01 00:00:00,,,,2021-06-01
2021-07-01 00:00:00,,,,2021-07-01
2021-08-01 00:00:00,,,,2021-08-01
2021-09-01 00:00:00,,,,2021-09-01
2021-10-01 00:00:00,,,,2021-10-01
2021-11-01 00:00:00,,,,2021-11-01
2021-12-01 00:00:00,,,,2021-12-01
2022-01-01 00:00:00,,,,2022-01-01
2022-02-01 00:00:00,,,,2022-02-01
2022-03-01 00:00:00,,,,2022-03-01
2022-04-01 00:00:00,,,,2022-04-01
2022-05-01 00:00:00,,,,2022-05-01
2022-06-01 00:00:00,,,,2022-06-01
2022-07-01 00:00:00,,,,2022-07-01
2022-08-01 00:00:00,,,,2022-08-01
2022-09-01 00:00:00,,,,2022-09-01
2006-09-01,570.6,0.0,100.0,
2007-09-01,600.0,0.01052,101.0515247,
2008-09-01,624.0,0.0104,102.1024606,
2009-09-01,633.3,0.01015,103.1387024,
2010-09-01,641.4,0.01013,104.183281,
2011-09-01,641.4,0.01,105.2251138,
2012-09-01,645.3,0.01006,106.2837631,
2013-09-01,645.3,0.01,107.3466007,
2014-09-01,648.6,0.01005,108.4255563,
2015-09-01,655.2,0.0101,109.520845,
2016-09-01,707.6,0.0108,110.7036434,
2017-09-01,735.9,0.0104,111.854955,
2018-09-01,900.0,0.01223,113.2229325,
2019-09-01,950.0,0.01056,114.4180634,
2020-09-01,950.0,0.01,115.5622441,
2021-09-01,965.0,0.01016,116.7361132,
2022-09-01,965.0,0.01,117.9034743,
